census_no,school_name,school_address,province,district,zone,education_division,school_type,category
21014,MEDAOYA K.V.,MAPAKADAWEWA,Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,3.Type2,provincial
21015,YALWELA MAHA VIDYALAYA,"YALWELA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,2.1C,provincial
21016,RITIGAHAARAWA VIDYALAYA,"RITIGAHAARAWA, MAHIYANGANA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,4.Type3,provincial
21017,MEDAYAYA K.V.,"MEDAYAYA, MAPAKADAWEWA",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,3.Type2,provincial
21018,DAMBAGOLLA SRI SUMANA K.V.,"DAMBAGOLLA, MAPAKADAWEWA",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,3.Type2,provincial
21019,DIRIYAGAMA P.V.,"DIRIYAGAMA, YALWELA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,4.Type3,provincial
21020,DIKYAYA K.V.,"DIKYAYA, ARAWA, BADULLA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,3.Type2,provincial
21021,GALBOKKA P.S.,"HEWANWATHTHA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,4.Type3,provincial
21022,SERUPITIYA K.V.,"DEHIGAMA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,4.Type3,provincial
21023,PINNAGOLLA JUNIOR SCHOOL,"PINNAGOLLA, KURUVITHANNA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,3.Type2,provincial
21024,GURUMADA K.V.,"DIYAKOBALA, BIBILE",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,3.Type2,provincial
21027,GEMUNUPURA M.V.,MAPAKADAWEWA,Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,2.1C,provincial
21028,BANDARANAYAKA M.M.V.,MAPAKADAWEWA,Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,2.1C,provincial
21029,THISSAPURA M.V.,"UVA THISSAPURA, MAPAKADAWEWA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,1.1AB,provincial
21030,HADDATHTHAWA M.M.V.,"SORABORA COLONY, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,2.1C,provincial
21031,ORUBENDIWEWA M.M.V.,"ARAWATHTHA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,1.1AB,provincial
21032,GIRANDURUKOTTE M.M.V.,GIRANDURUKOTTE,Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,1.1AB,provincial
21033,ARAWATHTHA K.V.,"ARAWATTHA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,3.Type2,provincial
21034,ABHAYAPURA EXEMPLARY SCHOOL,"ABHAYAPURA, MAPAKADAWEWA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,3.Type2,provincial
21035,ALUTHTHARAMA K.V.,"ALUTHTHARAMA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,3.Type2,provincial
21036,KESELPOTHA YAYA 12 VIDYALAYA,"KESELPOTHA, MAPAKADAWEWA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,3.Type2,provincial
21037,KESELPOTHA YAYA 11 M.V.,"KESELPOTHA, MAPAKADAWEWA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,3.Type2,provincial
21038,DAMBARAWA M.V.,"DAMBARAWA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,2.1C,provincial
21039,DEHIGOLLA M.V.,MAHIYANGANAYA,Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,2.1C,provincial
21040,SORABORAWEWA M.V.,MAHIYANGANAYA,Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,3.Type2,provincial
21041,NAWAJEEWITHAYA P.S.,C.T.C. ALUTHTHARAMA,Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,4.Type3,provincial
21042,HEMBARAWA M.V.,"HEMBARAWA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,2.1C,provincial
21043,DAMBANA K.V.,"DAMBANA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,3.Type2,provincial
21044,KUKULAPOLA K.V.,"WEWATHTHA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,3.Type2,provincial
21045,WEWATHTHA M.V.,"WEWATHTHA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,2.1C,provincial
21046,ROHANA K.V.,MAPAKADAWEWA,Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,3.Type2,provincial
21047,RATHKINDA M.V.,"PAHALA RATHKINDA, GIRANDURUKOTTE",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,2.1C,provincial
21048,ALUYATAWELA M.V.,"ALUYATAWELA, HEMBARAWA",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,2.1C,provincial
21049,DIULAPELESSA M.V.,"DIULAPELESSA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,2.1C,provincial
21050,MILLATHTHEWA M.V.,"MILLATHTHEWA, GIRANDURUKOTTE",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,3.Type2,provincial
21051,SERANA P.S.,"ARAWATHTHA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,4.Type3,provincial
21052,GALPORUYAYA K.V.,"GALPORUYAYA, GIRANDURUKOTTE",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,3.Type2,provincial
21053,WATAWANA K.V.,"SORABORA COLONY, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,3.Type2,provincial
21054,SENANIGAMA P.V.,MAPAKADAWEWA,Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,4.Type3,provincial
21055,IKIRIYAGODA VIDYALAYA,"KESELPOTHA, MAPAKADAWEWA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,3.Type2,provincial
21056,MEEGAHAHENA VIDYALAYA,GAPORUYAYA GIRANDURUKOTTE,Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,4.Type3,provincial
21057,ULHITIYA M.V.,"ULHITIYA, GIRANDURUKOTTE",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,2.1C,provincial
21058,GURUKUMBURA P.S.,GURUKUMBURA DAMBANA,Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,4.Type3,provincial
21059,AGALAOYA P.S.,GIRADURUKOTTE,Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,4.Type3,provincial
21060,BATHALAYAYA M.V.,"ALUTHTHARAMA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,2.1C,provincial
21061,ROTALAWELA K.V.,"DIULAPELESSA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,3.Type2,provincial
21062,WIRANAGAMA K.V.,"ALUTHTHARAMA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,4.Type3,provincial
21063,BELAGANWEWA K.V.,"BELAGANWEWA, GIRANDURUKOTTE",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,3.Type2,provincial
21064,ULHITIYAWA P.S.,"52 MILE POST, BELIGALLA, DAMBANA",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,4.Type3,provincial
21065,THELDENIYAYA K.V.,THELDENIYAYA GIRADURUKOTTE,Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,4.Type3,provincial
21066,HOBARIYAWA P.S.,"HOBARIYAWA, GIRANDURUKOTTE",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,4.Type3,provincial
21067,GINNORUWA K.V.,"HEMBARAWA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,3.Type2,provincial
21068,KOVILYAYA K.V.,KOVILYAYA,Uva,81.Badulla,Mahiyanganaya,Mahiyanganaya,3.Type2,provincial
21069,WELAMPALA P.V.,"ARWATHTHA, MAHIYANGANAYA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,4.Type3,provincial
21070,NAGADEEPA YAYA 01 P.S.,"UVA THISSAPURA, MAPAKADAWAWA",Uva,81.Badulla,Mahiyanganaya,Rideemaliyedda,4.Type3,provincial
21072,GALAUDA SECONDRY SCHOOL,"GALAUDA, HALIELA",Uva,81.Badulla,Viyaluwa,Kandaketiya,1.1AB,provincial
21073,GODUNNA MAHA VIDYALAYA,"GODUNNA, HALIELA",Uva,81.Badulla,Viyaluwa,Kandaketiya,2.1C,provincial
21074,VIYALUWA MAHA VIDYALAYA,"THANNEPANGUWA, KANDEGEDARA",Uva,81.Badulla,Viyaluwa,Kandaketiya,2.1C,provincial
21075,PITAMARUWA MAHA VIDYALAYA,"PITAMARUWA, PASSARA",Uva,81.Badulla,Viyaluwa,Meegahakivula,2.1C,provincial
21076,SORANATHOTA M.M.V.,"KOHOVILA, SORANATHOTA, BADULLA",Uva,81.Badulla,Viyaluwa,Soranatota,2.1C,provincial
21077,EGODAWELA M.V.,"EGODAWELA, BADULLA",Uva,81.Badulla,Viyaluwa,Soranatota,2.1C,provincial
21078,KIRIORUWA P.V.,"KIRIORUWA , KANDEGEDARA",Uva,81.Badulla,Viyaluwa,Soranatota,4.Type3,provincial
21080,KUTTIYAGOLLA M.V.,"KUTTIYAGOLLA, BADULLA",Uva,81.Badulla,Viyaluwa,Soranatota,2.1C,provincial
21081,KOSGOLLA M.V.,"THIMBIRIGASPITIYA , BADULLA",Uva,81.Badulla,Viyaluwa,Soranatota,3.Type2,provincial
21082,KOHANA SAPIRI VIDYALAYA,"PAYTHANAWATHTA , KANDEGEDARA",Uva,81.Badulla,Viyaluwa,Soranatota,4.Type3,provincial
21083,GANNILEGAMA P.V.,"THENNAPANGUWA, BADULLA",Uva,81.Badulla,Viyaluwa,Soranatota,4.Type3,provincial
21084,THALDENA NAVODYA M.V.,THALDENA,Uva,81.Badulla,Viyaluwa,Meegahakivula,1.1AB,provincial
21085,PUSSELLAKANDA M.V.,"PATHANAWATHTHA, HALIELA",Uva,81.Badulla,Viyaluwa,Soranatota,2.1C,provincial
21086,PUSSALLAWA M.V.,"THALDENA, BADULLA",Uva,81.Badulla,Viyaluwa,Soranatota,3.Type2,provincial
21087,BUDUGEKANDA M.V.,"THENNAPANGUWA, BUDUGEKANDA",Uva,81.Badulla,Viyaluwa,Soranatota,3.Type2,provincial
21088,BERAMADA VIDYALAYA,"BERAMADA, HALIELA",Uva,81.Badulla,Viyaluwa,Kandaketiya,3.Type2,provincial
21089,BOPITIYA PRIMARY SCHOOL,"THANNAPANGUWA, KANDEGEDRA",Uva,81.Badulla,Viyaluwa,Kandaketiya,4.Type3,provincial
