census_no,school_name,school_address,province,district,zone,education_division,school_type,category
17140,BAMUNAKOTUWA ISIPATHANA M.M.V.,BAMUNAKOTUWA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,1.1AB,provincial
17142,AMUNUGAMA K.V.,NIKADALUPOTHA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17143,KANOTUWA K.V.,"KANOTUWA, DEMATALUWA",North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17144,KEDAPATHWEHERA K.V.,PANADARAGAMA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17145,KONGOLLA K.V.,"KONGOLLA, KATUPOTHA",North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17146,GANTHIRIYAWA M.V.,"GANTHIRIYAWA, BAMUNAKOTUWA",North Western,61.Kurunegala,Nikaweratiya,Wariyapola,2.1C,provincial
17147,GOLUWAWA K.V.,THALWITA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17148,THABILIPOLA K.V.,ITHANAWATHTHA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17149,DEMATALUWA M.V.,DEMATAUWA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,2.1C,provincial
17150,NATHAGANE K.V.,BAMUNAKOTUWA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,4.Type3,provincial
17151,NAWINNA K.V.,WARIYAPOLA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17152,MAHINDODAYA P.V.,"PANADARE, PANADARAGAMA",North Western,61.Kurunegala,Nikaweratiya,Wariyapola,4.Type3,provincial
17153,MAHAKELIYA M.V.,WARIYAPOLA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,2.1C,provincial
17155,RATHMALE SRI REWATHA KANISHTA VIDYALAYA,ITHANAWATHTHA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17156,WALPOLA K.V.,"WALPOLA, BAMUNAKOTUWA",North Western,61.Kurunegala,Nikaweratiya,Wariyapola,4.Type3,provincial
17157,WARIYAPOLA SRI GANODAYA M.M.V.,WARIYAPOLA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,1.1AB,provincial
17158,SRI SARANANDA K.V.,"WALLAGALA, WARIYAPOLA",North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17159,SRI SUMANGALA P.V.,"HOROMBUWA, WARIYAPOLA",North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17161,KATUPOTHA P.V.,KATUPOTHA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,4.Type3,provincial
17162,KITHULWEHARA K.V.,"KITHULWAHARA, WARIYAPOLA",North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17164,THALGAMUWA P.V.,WARIYAPOLA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,4.Type3,provincial
17166,MALASNA DEWARAJA P.V.,THALWITA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,4.Type3,provincial
17167,MALWANA P.V.,"MALWANA, KANATHTHEWAWA",North Western,61.Kurunegala,Nikaweratiya,Wariyapola,4.Type3,provincial
17168,ABAKADAWARA M.V.,KANATHTHEWEWA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17169,AWLEGAMA SANGABODHI M.M.V.,AWLEGAMA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,1.1AB,provincial
17170,MINUWANGATE M.V.,MINUWANGATE,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,2.1C,provincial
17171,KARAGASWEWA K.V.,"KARAGASWEWA, PADENIYA",North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17172,KURUNAWA K.V.,WARIYAPOLAA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17173,NARAMANA WALAGAMBA M.V.,"NARAMANA, PADENIYA",North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17174,NABADAWAWA P.V.,"NABADAWEWA, WELAWA JUNCTION",North Western,61.Kurunegala,Nikaweratiya,Wariyapola,4.Type3,provincial
17175,SRI SUNANDA M.V.,PADENIYA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,2.1C,provincial
17176,BAYAWA K.V.,"BAYAWA, AWLEGAMA",North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17177,MALAGANE M.V.,MALAGANE,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17179,RAMBUKANA P.V.,WELAWA JUNCTION,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,4.Type3,provincial
17181,WEPATHTHANGE P.V.,PADENIYA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17182,THENNAKOONGAMA M.V.,"THENNAKOONGAMA, AWLEGAMA",North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17183,ETHAWA P.V.,AWLEGAMA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,4.Type3,provincial
17184,KATAGAMUWA P.V.,AWLEGAMA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,4.Type3,provincial
17185,THABARAWA P.V.,MALAGANE,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,4.Type3,provincial
17186,NETIYA K.V.,"NETIYA, MALAGANE",North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17189,BOGODA P.V.,"BOGODA, PADENIYA",North Western,61.Kurunegala,Nikaweratiya,Wariyapola,4.Type3,provincial
17191,MIRIHANEGAMA M.V.,"MIRIHANEGAMA, MIRIHANEGAMA",North Western,61.Kurunegala,Nikaweratiya,Wariyapola,3.Type2,provincial
17192,SUNDARAGAMA P.V.,"SUNDARAGAMA, AWLEGAMA",North Western,61.Kurunegala,Nikaweratiya,Wariyapola,4.Type3,provincial
17195,HERATHGAMA P.V.,"HERATHGAMA, AWLEGAMA",North Western,61.Kurunegala,Nikaweratiya,Wariyapola,4.Type3,provincial
17196,WALPALUWA P.V.,"WALPALUWA , MINUWANGATE",North Western,61.Kurunegala,Nikaweratiya,Wariyapola,4.Type3,provincial
17197,KONOTHTHA P.V.,MINUWANGATE,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,4.Type3,provincial
17198,DABALIYADDA P.V.,BAMUNAKOTUWA,North Western,61.Kurunegala,Nikaweratiya,Wariyapola,4.Type3,provincial
17200,GOKERALLA M.M.V.,GOKERALLA,North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,1.1AB,provincial
17201,KUMBUKWEWA M.V.,KUMBUKWEWA,North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,2.1C,provincial
17202,THAKSHALA M.V.,MAHAMUKALANYAYA,North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,2.1C,provincial
17203,MEDAMULLA DE MEL M.V.,MELSIRIPURA,North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,2.1C,provincial
17204,IBBAGAMUWA MODEL SCHOOL,IBBAGAMUWA,North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,1.1AB,provincial
17205,OMARAGOLLA M.V.,PANLIYADDA,North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,2.1C,provincial
17206,KIRIBAMUNA P.V.,IBBAGAMUWA,North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,3.Type2,provincial
17207,GASSANDALUPOTHA V.,KUMBUKWEWA,North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,3.Type2,provincial
17208,MELSIRIPURA NAMALANGA M.V.,MELSIRIPURA,North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,2.1C,provincial
17209,DIDDENIYA V.,"DIDDENIYA, MELSIRIPURA",North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,3.Type2,provincial
17210,AKKARA PANAHA K.V.,MELSIRIPURA,North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,3.Type2,provincial
17211,WAYAMBA PRESIDENT'S COLLEGE,IBBAGAMUWA,North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,4.Type3,provincial
17212,UDAKENDAWALA SIRI SARANANKARA V.,MELSIRIPURA,North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,3.Type2,provincial
17213,USSAWA P.V.,"USSAWA, MELSIRIPURA",North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,4.Type3,provincial
17214,KANAWA K.V.,"MAHA MUKALANYAYA, PE NELAWA",North Western,61.Kurunegala,Ibbagamuwa,Ganewatta,3.Type2,provincial
17215,KIRIDIGALLA P.V.,IBBAGAMUWA,North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,4.Type3,provincial
17216,THALAHINNA SIDDHARTHA VIDYALAYA,IBBAGAMUWA,North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,4.Type3,provincial
17217,THALANGAMUWA K.V.,DIDDENIYA,North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,3.Type2,provincial
17218,NABETA VIDYALAYA,MELSIRIPURA,North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,4.Type3,provincial
17219,NELAWA VIDYALAYA,"PERIYAKADU NELAWA, IBBAGAMUWA",North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,3.Type2,provincial
17220,NEMBILIKUMBURA P.V.,"NEMBILIKUMBURA, IBBAGAMUWA",North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,4.Type3,provincial
17221,NIKAGOLLA P.V.,KUMBUKWEWA,North Western,61.Kurunegala,Ibbagamuwa,Ganewatta,4.Type3,provincial
17222,C.W.W.KANNANGARA P.V.,"NINDAPALLA, GOKARELLA",North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,4.Type3,provincial
17223,NEERAMMULA JAYANTHI P.V.,MELSIRIPURA,North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,4.Type3,provincial
17224,WEERA COLONEAL NIYOMAL PALIPANA V.,IBBAGAMUWA,North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,3.Type2,provincial
17225,LENAWAV P.V.,"LENAWA, HIRIYALA, LENAWA",North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,4.Type3,provincial
17226,HANGAMUWA P.V.,IBBAGAMUWA,North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,4.Type3,provincial
17227,SRI WIMALASARA P.V.,"UDATHAMMITA, KIRIDIGALLA",North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,4.Type3,provincial
17229,WEERA PARAKUM VIDYALAYA,"PALLEKENDAWALA, MELSIRIPURA",North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,4.Type3,provincial
17232,GODARATHMALE VIDYARTHA P.V.,"GODARATHMALE, GOKARELLA",North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,4.Type3,provincial
17233,KUMBUKGETE M.M.V.,KUMBUKGETE,North Western,61.Kurunegala,Ibbagamuwa,Ganewatta,1.1AB,provincial
17235,POTHUWAGONNA M.V.,KU. THAMBAGALLE,North Western,61.Kurunegala,Ibbagamuwa,Ganewatta,2.1C,provincial
17236,OTHUWELA P.V.,NIKADALUPOTHA,North Western,61.Kurunegala,Ibbagamuwa,Ganewatta,4.Type3,provincial
17237,SARUBIMA SUPIPI VIDYALAYA,"NELLIYA, MELSIRIPURA",North Western,61.Kurunegala,Ibbagamuwa,Ibbagamuwa,4.Type3,provincial
