census_no,school_name,school_address,province,district,zone,education_division,school_type,category
14043,DEVAOURAM GAJAMUGAN VIDYALAYAM,MURAKADANCHENAI,Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,4.Type3,provincial
14044,MURAKOTTANCHENAI RAMA KRISHNA MISSION VIDYALAYAM,"MAIN ROAD, MURAKOTTANCHENAI.",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu,2.1C,provincial
14045,VANTHARUMOOLAI MADYA MAHA VIDYALAYAM,SITTANDY-03,Eastern,51.Batticaloa,Kalkudah,Eravur Pattu - II,1.1AB,provincial
14046,SITTANDY SITHY VINAYAGAR VIDYALAYA,SITTANDY - 01,Eastern,51.Batticaloa,Kalkudah,Eravur Pattu - II,4.Type3,provincial
14047,SITTANDY SRI RAMAKRISHNA VIDYALAYA,SITTANDY -03,Eastern,51.Batticaloa,Kalkudah,Eravur Pattu - II,4.Type3,provincial
14048,ERALAKULAM G.T.M.S.,SITTANDY,Eastern,51.Batticaloa,Kalkudah,Eravur Pattu - II,3.Type2,provincial
14049,MAVADIVEMBU VIGNESWARA VIDYALAYA,VANTHARUMOOLAI,Eastern,51.Batticaloa,Kalkudah,Eravur Pattu - II,3.Type2,provincial
14050,VANTHARUMOOLAI VISNU MAHA VIDYALAYA,VANTHARUMOOLAI,Eastern,51.Batticaloa,Kalkudah,Eravur Pattu - II,1.1AB,provincial
14051,VANTHARUMOOLAI GANESHA VIDYALAYA,VANTHARUMOOLAI,Eastern,51.Batticaloa,Kalkudah,Eravur Pattu - II,4.Type3,provincial
14052,VEERAKADDU MYLAVADDUVAN G.T.M.S.,VANTHARUMOOLAI,Eastern,51.Batticaloa,Kalkudah,Eravur Pattu - II,4.Type3,provincial
14053,KALUWANKERNY VIVEGANANDAH VIDYALAYA,KALUWANKERNY - 01,Eastern,51.Batticaloa,Kalkudah,Eravur Pattu - II,2.1C,provincial
14054,KOMATHURAI VINAYAGAR VIDYALAYA,KOMATHURAI CHENKALADY,Eastern,51.Batticaloa,Kalkudah,Eravur Pattu - II,4.Type3,provincial
14055,CHENKALADY CENTRAL COLLEGE,CHENKALADY,Eastern,51.Batticaloa,Kalkudah,Eravur Pattu - II,1.1AB,provincial
14056,KODUWAMADU SHAKTHI VIDYALAYA,"KALIKOVIL RD, KODUVAMADU, PANKUDAVELY",Eastern,51.Batticaloa,Batticaloa West,Eravur Pattu - III,4.Type3,provincial
14057,ILLUPPADICHENAI AMBAL VIDYALAYAM,PANKUDAVELY,Eastern,51.Batticaloa,Batticaloa West,Eravur Pattu - III,2.1C,provincial
14058,PANKUDAVELY RCTM SCHOOL,"PANKUDAVELY, SENKALADY",Eastern,51.Batticaloa,Batticaloa West,Eravur Pattu - III,3.Type2,provincial
14059,VEPPAVEDDUWAN G.T.M.S.,PANKUDAVELY,Eastern,51.Batticaloa,Batticaloa West,Eravur Pattu - III,4.Type3,provincial
14060,ERAVUR TAMIL MAHA VIDYALAYAM,CHENKALADY,Eastern,51.Batticaloa,Batticaloa,Eravur Pattu - I (Chenkalady),2.1C,provincial
14061,ERAVUR VIPULANANDA VIDYALAYAM,"ERAVUR 5, CHENKALADY",Eastern,51.Batticaloa,Batticaloa,Eravur Pattu - I (Chenkalady),3.Type2,provincial
