census_no,school_name,school_address,province,district,zone,education_division,school_type,category
13150,VEERAPURAM MANIVASAGAR MAHA VIDYALAYAM,NERIYAKULAM VAVUNIYA,Northern,43.Vavuniya,Vavuniya South,Vengalacheddikulam,2.1C,provincial
13151,ARUVITHODDAM SIVANANTHA VIDYALAYAM,MENICK FARM CHEDDIKULAM,Northern,43.Vavuniya,Vavuniya South,Vengalacheddikulam,3.Type2,provincial
13152,VAVUNIYA POOSANIPIDDY THAYUMANAVAR VIDYALAYAM,"2ND FARM, CHEDDIKULAM",Northern,43.Vavuniya,Vavuniya South,Vengalacheddikulam,4.Type3,provincial
13153,KALLARU SRI SITHTHIVINAYAKAR VIDYALAYAM,THADDANKULAM CHEDDIKULAM,Northern,43.Vavuniya,Vavuniya South,Vengalacheddikulam,4.Type3,provincial
13154,MAHARAMBAIKULAMG.T.M.SCHOOL,MAHARAMBAIKULAM VAVUNIYA,Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Tamil),4.Type3,provincial
13155,MADEENA VIDYALAYA,MATHEENA NAGAR MAHARAMBAIKULAM VAVUNIYA,Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Tamil),3.Type2,provincial
13156,THAMPANASOLAI KETHESWARA VIDYALAYAM,THAMPANAISOLAI VAVUNIYA,Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Tamil),3.Type2,provincial
13157,KARUMPANICHANKULAM G.T.M.S.,KARUMPANICHANKULAM VAVUNIYA,Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Tamil),4.Type3,provincial
13158,THIRUGANANASAMPANTHAR VIDYALAYAM,SRIRAMAPURAM VAVUNIYA,Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Tamil),3.Type2,provincial
13159,ANNANAGAR PARAMESWARA VIDYALAYAM,ANNANAGAR VAVUNIYA,Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Tamil),3.Type2,provincial
13160,MURUGANOOR SARATHA VIDYALAYAM,MURUGANOOR VAVUNIYA,Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Tamil),4.Type3,provincial
13161,PARASAKTHY VIDYALAYAM,TKETKILLUPPAIKULAM VAVUNIYA,Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Tamil),4.Type3,provincial
13162,KOOMANKULAM SITHIVINAYAKAR VIDYALAYAM,KOOMANKULAM VAVUNIYA,Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Tamil),3.Type2,provincial
13163,POOMPUKAR KANNAKI VIDYALAYAM,IRANAIILUPPAIKULAM VAVUNIYA,Northern,43.Vavuniya,Vavuniya North,Omanthai,3.Type2,provincial
13164,SUNTHARAPURAM G.T.M.S.,"SAASTHIRIKOOLANKULAM, VAVUNIYA",Northern,43.Vavuniya,Vavuniya North,Omanthai,3.Type2,provincial
13165,GANESHAPURAM VINAYAGAR VIDYALAYAM,"MARUKARAMPALAI ROAD, KANESHAPURAM VAVUNIYA",Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Tamil),3.Type2,provincial
13166,KATPAKAPURAM G.T.M.S.,"PAMPAIMADU, VAVUNIYA`",Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Tamil),4.Type3,provincial
13167,ANANTHAKUMARASAMY VIDYALAYAM,PUTHIYAVELARSINNAKULAM OMANTHAI,Northern,43.Vavuniya,Vavuniya North,Omanthai,4.Type3,provincial
13170,VILATHTHIKKULAM SITHAMPARAM VIDYALAYAM,VILATHTHIKKULAM OMANTHAI,Northern,43.Vavuniya,Vavuniya North,Omanthai,4.Type3,provincial
13173,MANIKKA ILUPPAIKKULAM G.T.M.S.,MANIKKA ILUPPAIKKULAM OMANTHAI,Northern,43.Vavuniya,Vavuniya North,Omanthai,4.Type3,provincial
13174,PARATHIPURAM BARATHY VIDYALAYAM,BARATHIPURAM VAVUNIYA,Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Tamil),4.Type3,provincial
13175,SIVAPURAM PRIMARAY SCHOOL,4TH MILE POST MANNAR ROAD VAVUNIYA,Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Tamil),4.Type3,provincial
13176,THALIKKULAM.G.T.M.SCHOOL,"POOVARASANKULAM, VAVUNIYA",Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Tamil),3.Type2,provincial
13177,VEERAMAMUNIVAR VIDYALAYAM,"ALAIKALLUPPODAKULAM, OMANTHAI",Northern,43.Vavuniya,Vavuniya North,Omanthai,4.Type3,provincial
13178,SENGALPADAI THIRUKKUMARAN VIDYALAYAM,"IRANAI ILUPPAIKULAM, VAVUNIYA",Northern,43.Vavuniya,Vavuniya North,Omanthai,4.Type3,provincial
13179,KOKWELIYA VIDYALAYA,KOKWELIYA VAVUNIYA,Northern,43.Vavuniya,Vavuniya South,Vavuniya South (Sinhala),4.Type3,provincial
13181,PUTHUKKULAM PANDITHAMANI KANAPATHIPPILLAI VIDYALAYAM,"PUTHUKKULAM, KANAGARAYANKULAM",Northern,43.Vavuniya,Vavuniya North,Nedunkerny,4.Type3,provincial
13182,KOLLAR PULIYANKULAM SRIRAMAKIRISHNA VIDYALAYAM,KOLLARPULIYANKULAM MANKULAM,Northern,43.Vavuniya,Vavuniya North,Nedunkerny,4.Type3,provincial
13183,THANINAYAHAM ADIKALAR VIDYALAYAM,"RAMAR PULIYANKULAM, PULIYANKULAM",Northern,43.Vavuniya,Vavuniya North,Nedunkerny,4.Type3,provincial
